ref,imageLink,title,description,creationYear
https://mubi.com/en/ru/films/so-long-my-son,https://images.mubicdn.net/images/film/226228/cache-403500-1576032290/image-w1280.jpg?size=700x,"So Long, My Son","China’s one-child policy is the historical backdrop for this sweeping chronicle of family and loss, a journey at once intimate and epic between a tragic past and a resilient present. Above all, its humanist beauty lies in the heart-wrenching performances, which won Best Actress and Actor in Berlin.",2019
https://mubi.com/en/ru/films/all-about-my-mother,https://images.mubicdn.net/images/film/309/cache-50190-1549280223/image-w1280.jpg?size=800x,All About My Mother,"Following the tragic death of her teenage son, Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend, an outspoken transgender sex worker, and befriends a troubled actress and a pregnant, HIV-positive nun.",1999
https://mubi.com/en/ru/films/seven-samurai,https://images.mubicdn.net/images/film/165/cache-47740-1531855498/image-w1280.jpg?size=800x,Seven Samurai,"A sixteenth century farming village requests protection from the seven samurai against a horde of bandits who have warned they will return when the crops are ripe. A gripping three hour ride that inspired the Hollywood remake, The Magnificent Seven.",1954
https://mubi.com/en/ru/films/stalker,https://images.mubicdn.net/images/film/115/cache-859009-1677692554/image-w1280.jpg?size=800x,Stalker,"A hired guide leads his two clients—a writer looking for inspiration and a professor seeking scientific discovery—through a hazardous wasteland and into the heart of the Zone, the restricted site of a long-ago disaster. Within the Zone is the Room: a place rumored to fulfil one’s deepest desires.",1979
https://mubi.com/en/ru/films/apocalypse-now,https://images.mubicdn.net/images/film/1537/cache-29806-1711623742/image-w1280.jpg?size=800x,Apocalypse Now,"Vietnam, 1970. Captain Willard takes a journey upriver to assassinate Colonel Kurtz, a once-promising officer who has gone completely mad. In the company of a Navy patrol boat filled with street-smart kids, an Air Cavalry officer, and a freelance photographer, Willard ventures into enemy territory.",1979
https://mubi.com/en/ru/films/paris-is-burning,https://images.mubicdn.net/images/film/21477/cache-14113-1716373174/image-w1280.jpg?size=700x,Paris Is Burning,"Full of iconic quotes that have shaped the queer lexicon, Jennie Livingston’s seminal documentary captures the ballroom scene of 1980s New York in all its vivacious joy and heartbreaking precarity. Carved out of sequins and solidarity, its safe havens are where fantasies become gloriously real.",1990
https://mubi.com/en/ru/films/crossing-2023-levan-akin,https://images.mubicdn.net/images/film/374529/cache-937622-1705510920/image-w1280.jpg?size=800x,Crossing,"Lia, a retired teacher from Georgia, learns from her young neighbor, Achi, that her long-lost transgender niece, Tekla, has crossed the border into Turkey. In search of Tekla, Lia travels to Istanbul with the unpredictable Achi, where they explore the hidden depths of the city.",2024
https://mubi.com/en/ru/films/la-jetee,https://images.mubicdn.net/images/film/329/cache-8088-1581455984/image-w1280.jpg?size=800x,La jetée,"After World War III, Paris lies in ruins. A scientist researching time travel hopes to send subjects to various time periods. He finds a suitable subject in a prisoner with a vivid pre-war childhood memory. The prisoner travels in time and comes to understand an incident he witnessed as a child.",1962
https://mubi.com/en/ru/films/incendies,https://images.mubicdn.net/images/film/33111/cache-47822-1546509631/image-w1280.jpg?size=800x,Incendies,Twins Simon and Jeanne visit a notary to hear their mother’s will and are surprised to find that they have a brother and that their father is still alive. They travel to an unnamed Middle Eastern country where they discover that the fortunes of their family were determined by the region’s conflicts.,2010
https://mubi.com/en/ru/films/persona,https://images.mubicdn.net/images/film/299/cache-51225-1560532142/image-w1280.jpg?size=800x,Persona,"After Elisabet, a famed actress, lapses into silence from what appears to be a breakdown, she goes to a beach house with only Alma, a nurse, as company. Over the next weeks, as Alma struggles to reach her mute patient, they both find themselves experiencing a strange emotional convergence.",1966
https://mubi.com/en/ru/films/oldboy,https://images.mubicdn.net/images/film/114/cache-826019-1666951909/image-w1280.jpg?size=800x,Oldboy,"Imprisoned by a sadistic captor for 15 years, Oh Dae-su survives only because of his will to get even with the villain who has made his life a living hell. But when he’s suddenly released without explanation, he embarks on a quest for revenge and finds himself plunged into a Kafkaesque conspiracy.",2003
https://mubi.com/en/ru/films/the-celebration,https://images.mubicdn.net/images/film/199/cache-8023-1695312479/image-w1280.jpg?size=700x,Festen,"Arguably portraying one of cinema’s most messed-up families ever, Festen is considered the first film made under the rules of the radical Dogme 95 movement. Thomas Vinterberg’s madcap time-bomb of latent secrets and repressed grudges makes any family dinner seem like a piece of cake.",1998
https://mubi.com/en/ru/films/parasite-2018,https://images.mubicdn.net/images/film/172930/cache-385392-1580593225/image-w1280.jpg?size=800x,Parasite,"Meet the Park Family, the picture of aspirational wealth. And the Kim Family, rich in street smarts but not much else. Masterminded by Ki-Woo, the Kim children scam their way as tutors into the wealthy household—and it’s not long before the Parks are obliviously bankrolling the whole Kim clan…",2019
https://mubi.com/en/ru/films/monster-2023,https://images.mubicdn.net/images/film/362266/cache-831801-1717513634/image-w1280.jpg?size=800x,Monster,"When a young boy displays increasingly worrying behavior at school and home, his mother decides to discuss it with his teachers. It soon becomes apparent that one of his teachers is the source of all the problems. But as the mystery unfolds, the truth becomes more complex than expected.",2023
https://mubi.com/en/ru/films/three-colors-red,https://images.mubicdn.net/images/film/412/cache-47312-1680018178/image-w1280.jpg?size=800x,Three Colors: Red,"Part-time model Valentine unexpectedly befriends a retired judge after she runs over his dog. At first, the grumpy man shows no concern about the dog, and Valentine decides to keep it. But the two form a bond when she returns to his house and catches him listening to his neighbors’ phone calls.",1994
https://mubi.com/en/ru/films/the-beaches-of-agnes,https://images.mubicdn.net/images/film/1457/cache-8855-1680186866/image-w1280.jpg?size=800x,The Beaches of Agnès,"Returning to the beaches that have been part of her life, Agnès Varda invents a kind of self-portrait-documentary. Agnès stages herself among excerpts of her films, images and reportages; weaving public and private struggles, loves and friendships, films and people, and the history of French cinema.",2008
https://mubi.com/en/ru/films/pulp-fiction,https://images.mubicdn.net/images/film/161/cache-47695-1577231473/image-w1280.jpg?size=800x,Pulp Fiction,"A mysterious suitcase brings together the lives of two hit men, a down-on-his-luck boxer, a notorious gangster’s wife, and a pair of lovesick petty thieves in interlocking tales of crime and redemption in Los Angeles.",1994
https://mubi.com/en/ru/films/the-godfather-part-ii,https://images.mubicdn.net/images/film/1270/cache-8726-1543371338/image-w1280.jpg?size=800x,The Godfather: Part II,The second installment of the epic saga of the Corleone family weaves the story of the early life of Vito Corleone in the 1920s in New York City alongside son Michael’s rise to prominence as a mafia kingpin in the 1950s.,1974
https://mubi.com/en/ru/films/spirited-away,https://images.mubicdn.net/images/film/979/cache-30752-1615460383/image-w1280.jpg?size=800x,Spirited Away,"During her family’s move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",2001
